,Sem.,Jour,Date,Heure,Domicile,xG,Score,xG.1,Extérieur,Affluence,Tribune,Arbitre,Rapport de match,Notes
157,15,Sam,2019-11-30,20:00,Lille,1.7,1–0,0.8,Dijon,40074,Stade Pierre-Mauroy,Jeremy Stinat,Rapport de match,
158,15,Sam,2019-11-30,20:00,Nîmes,0.7,1–1,0.8,Metz,12180,Stade des Costières,Hakim Ben El Hadj Salem,Rapport de match,
159,15,Sam,2019-11-30,20:00,Reims,1.4,1–1,0.3,Bordeaux,12949,Stade Auguste-Delaune II,Jérôme Brisard,Rapport de match,
160,15,Dim,2019-12-01,15:00,Nantes,2.8,2–1,1.1,Toulouse,13751,Stade de la Beaujoire - Louis Fonteneau,Florent Batta,Rapport de match,
161,15,Dim,2019-12-01,17:00,Rennes,1.4,2–1,0.5,Saint-Étienne,26738,Roazhon Park,Eric Wattellier,Rapport de match,
162,,,,,,,,,,,,,,
163,16,Mar,2019-12-03,19:00,Brest,2.0,5–0,0.8,Strasbourg,12437,Stade Francis-Le Blé,Jérôme Brisard,Rapport de match,
164,16,Mar,2019-12-03,19:00,Angers,0.7,0–2,1.8,Marseille,12455,Stade Raymond Kopa,Franck Schneider,Rapport de match,
165,16,Mar,2019-12-03,19:00,Bordeaux,2.1,6–0,0.3,Nîmes,12419,Stade Matmut-Atlantique,Clément Turpin,Rapport de match,
166,16,Mar,2019-12-03,21:05,Lyon,0.8,0–1,0.9,Lille,42535,Groupama Stadium,Ruddy Buquet,Rapport de match,
167,16,Mer,2019-12-04,19:00,Saint-Étienne,2.7,4–1,1.2,Nice,20138,Stade Geoffroy-Guichard,Thomas Léonard,Rapport de match,
168,16,Mer,2019-12-04,19:00,Dijon,1.5,2–2,1.1,Montpellier,11926,Stade Gaston Gérard,François Letexier,Rapport de match,
169,16,Mer,2019-12-04,19:00,Metz,0.9,0–1,1.1,Rennes,14214,Stade Saint-Symphorien,Karim Abed,Rapport de match,
170,16,Mer,2019-12-04,19:00,Toulouse,1.8,1–2,4.3,Monaco,13030,Stadium Municipal,Willy Delajod,Rapport de match,
171,16,Mer,2019-12-04,21:05,Paris S-G,1.9,2–0,0.6,Nantes,47485,Parc des Princes,Amaury Delerue,Rapport de match,
172,,,,,,,,,,,,,,
173,17,Ven,2019-12-06,19:00,Lille,2.6,1–0,0.3,Brest,32682,Stade Pierre-Mauroy,Eric Wattellier,Rapport de match,
174,17,Ven,2019-12-06,20:45,Nîmes,0.2,0–4,3.2,Lyon,12801,Stade des Costières,Olivier Thual,Rapport de match,
175,17,Sam,2019-12-07,17:30,Montpellier,0.4,1–3,1.2,Paris S-G,20197,Stade de la Mosson,Antony Gautier,Rapport de match,
176,17,Sam,2019-12-07,20:00,Strasbourg,2.3,4–2,1.7,Toulouse,23634,Stade de la Meinau,Johan Hamel,Rapport de match,
177,17,Sam,2019-12-07,20:00,Monaco,2.4,3–0,0.4,Amiens,4203,Stade Louis II.,Jeremy Stinat,Rapport de match,
178,17,Sam,2019-12-07,20:00,Nice,1.6,4–1,1.7,Metz,14967,Stade de Nice,Jérémie Pignard,Rapport de match,
179,17,Sam,2019-12-07,20:00,Rennes,1.2,2–1,0.8,Angers,25656,Roazhon Park,Amaury Delerue,Rapport de match,
180,17,Dim,2019-12-08,15:00,Reims,1.2,3–1,0.6,Saint-Étienne,14512,Stade Auguste-Delaune II,Stéphanie Frappart,Rapport de match,
181,17,Dim,2019-12-08,17:00,Nantes,1.2,1–0,0.5,Dijon,16001,Stade de la Beaujoire - Louis Fonteneau,Hakim Ben El Hadj Salem,Rapport de match,
182,17,Dim,2019-12-08,21:00,Marseille,1.9,3–1,0.1,Bordeaux,52079,Orange Vélodrome,Mikael Lesage,Rapport de match,
183,,,,,,,,,,,,,,
184,18,Ven,2019-12-13,20:45,Lille,2.0,2–1,1.3,Montpellier,30170,Stade Pierre-Mauroy,Jérôme Brisard,Rapport de match,
185,18,Sam,2019-12-14,17:30,Metz,1.1,1–1,1.8,Marseille,20586,Stade Saint-Symphorien,Willy Delajod,Rapport de match,
186,18,Sam,2019-12-14,20:00,Angers,1.1,0–0,0.4,Monaco,9959,Stade Raymond Kopa,Hakim Ben El Hadj Salem,Rapport de match,
187,18,Sam,2019-12-14,20:00,Brest,2.0,0–0,1.2,Nice,13042,Stade Francis-Le Blé,Franck Schneider,Rapport de match,
188,18,Sam,2019-12-14,20:00,Toulouse,0.8,0–1,1.3,Reims,12577,Stadium Municipal,Clément Turpin,Rapport de match,
189,18,Sam,2019-12-14,20:00,Nîmes,0.8,0–1,1.4,Nantes,12098,Stade des Costières,Karim Abed,Rapport de match,
190,18,Sam,2019-12-14,20:00,Amiens,0.4,1–1,1.0,Dijon,10530,Stade Crédit Agricole la Licorne,Thomas Léonard,Rapport de match,
191,18,Dim,2019-12-15,15:00,Bordeaux,1.4,0–1,0.6,Strasbourg,18710,Stade Matmut-Atlantique,Florent Batta,Rapport de match,
192,18,Dim,2019-12-15,17:00,Lyon,0.6,0–1,2.1,Rennes,45010,Groupama Stadium,Benoît Bastien,Rapport de match,
193,18,Dim,2019-12-15,21:00,Saint-Étienne,1.1,0–4,4.3,Paris S-G,36391,Stade Geoffroy-Guichard,Ruddy Buquet,Rapport de match,
194,,,,,,,,,,,,,,
195,19,Sam,2019-12-21,20:45,Montpellier,2.1,4–0,0.9,Brest,12975,Stade de la Mosson,Jeremy Stinat,Rapport de match,
196,19,Sam,2019-12-21,20:45,Strasbourg,0.6,2–1,1.6,Saint-Étienne,25471,Stade de la Meinau,Olivier Thual,Rapport de match,
197,19,Sam,2019-12-21,20:45,Monaco,3.4,5–1,0.8,Lille,5388,Stade Louis II.,Mikael Lesage,Rapport de match,
